ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,flights,avg_arrival_delay,delayed_15_pct
SJU,Luis Muñoz Marín International Airport,18.43942,-66.00183,26257,2.506036485508626,17.48
SLC,Salt Lake City International Airport,40.78839,-111.97777,105243,0.4051670894976388,13.12
SMF,Sacramento International Airport,38.69542,-121.59077,40386,5.147105432575645,17.4
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),34.89925,-120.45758,713,5.64656381486676,16.97
SNA,John Wayne Airport (Orange County Airport),33.67566,-117.86822,40232,1.5271674289123085,14.56
SPI,Abraham Lincoln Capital Airport,39.84395,-89.67762,1665,7.225225225225225,17.12
SPS,Wichita Falls Municipal Airport/Sheppard AFB,33.9888,-98.49189,1287,5.232323232323233,16.55
SRQ,Sarasota-Bradenton International Airport,27.39533,-82.55411,3622,4.455825510767532,15.6
STC,St. Cloud Regional Airport,45.54532,-94.05834,77,19.558441558441558,31.17
STL,St. Louis International Airport at Lambert Field,38.74769,-90.35999,50476,3.7113479673508203,18.02
STT,Cyril E. King Airport,18.33731,-64.97336,4405,3.798410896708286,18.68
STX,Henry E. Rohlsen Airport,17.70189,-64.79856,1000,5.06,20.0
SUN,Friedman Memorial Airport,43.50484,-114.29659,927,1.063646170442287,13.16
SUX,Sioux Gateway Airport,42.4026,-96.38437,646,5.603715170278638,18.73
SWF,Stewart International Airport,41.50409,-74.10484,738,6.314363143631437,19.65
SYR,Syracuse Hancock International Airport,43.11119,-76.10631,6080,0.35411184210526314,16.28
TLH,Tallahassee International Airport,30.39653,-84.35033,3419,3.3021351272301844,15.18
TOL,Toledo Express Airport,41.58681,-83.80783,985,-3.0730964467005077,15.23
TPA,Tampa International Airport,27.97547,-82.53325,68202,4.5163045071992025,17.47
TRI,Tri-Cities Regional Airport,36.47521,-82.40742,2065,4.116707021791767,16.13
TTN,Trenton Mercer Airport,40.27669,-74.81347,3048,10.576771653543307,22.83
TUL,Tulsa International Airport,36.19837,-95.88824,15010,3.6421718854097267,16.82
TUS,Tucson International Airport,32.11608,-110.94103,16221,2.1209543184760498,14.84
TVC,Cherry Capital Airport,44.74144,-85.58224,2868,1.661436541143654,15.17
TWF,Magic Valley Regional Airport (Joslin Field),42.4818,-114.48774,892,-1.5448430493273542,10.31
TXK,Texarkana Regional Airport (Webb Field),33.45371,-93.99102,1000,5.27,16.2
TYR,Tyler Pounds Regional Airport,32.35414,-95.40239,2422,5.5990916597853015,17.13
