ROUTE,ORIGIN_AIRPORT,ORIGIN_AIRPORT_NAME,DESTINATION_AIRPORT,DESTINATION_AIRPORT_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,flights,delayed_flights,avg_arrival_delay,delayed_15_rate,delayed_15_pct,adjusted_delay_rate,adjusted_delay_pct,flights_normalized,avg_arrival_delay_positive,avg_delay_normalized,delay_impact_score,cluster,pca_1,pca_2
SLC-SJC,SLC,Salt Lake City International Airport,SJC,Norman Y. Mineta San José International Airport,40.78839,-111.97777,37.36186,-121.92901,1801,152,4.964464186563021,0.0843975569128262,8.44,0.0897480731187943,8.97,12.205204662510164,4.964464186563021,1.3030089728511864,8.63,2,-3.424669306085223,1.3870596853421848
DAY-MSP,DAY,James M. Cox Dayton International Airport,MSP,Minneapolis-Saint Paul International Airport,39.90238,-84.21938,44.88055,-93.21692,625,69,8.1072,0.1104,11.04,0.1208428786190733,12.08,4.235565193819464,8.1072,2.127874015748032,8.63,2,-2.833593905109949,0.11511321661619661
PVD-DTW,PVD,Theodore Francis Green State Airport,DTW,Detroit Metropolitan Airport,41.724,-71.42822,42.21206,-83.34884,867,92,7.307958477508651,0.1061130334486736,10.61,0.1143858190267095,11.44,5.875576036866359,7.307958477508651,1.91809933792878,8.62,2,-2.9581813049793246,0.3929072069602655
DTW-ORF,DTW,Detroit Metropolitan Airport,ORF,Norfolk International Airport,42.21206,-83.34884,36.89461,-76.20122,561,62,8.868092691622103,0.1105169340463458,11.05,0.1219532329785599,12.2,3.8018433179723514,8.868092691622103,2.3275833836278483,8.62,2,-2.754274038867535,-0.001294182470712865
SEA-ONT,SEA,Seattle-Tacoma International Airport,ONT,Ontario International Airport,47.44898,-122.30931,34.056,-117.60119,985,102,6.747208121827411,0.1035532994923857,10.36,0.1111622921648185,11.12,6.675250745459474,6.747208121827411,1.770920766883835,8.61,2,-3.0446034509843645,0.5454000961521006
SMF-MSP,SMF,Sacramento International Airport,MSP,Minneapolis-Saint Paul International Airport,38.69542,-121.59077,44.88055,-93.21692,596,65,10.083892617449663,0.1090604026845637,10.91,0.120130872124753,12.01,4.039034968826241,10.083892617449663,2.646690975708573,8.61,2,-2.6380940907242407,-0.07413007642697882
SLC-BZN,SLC,Salt Lake City International Airport,BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),40.78839,-111.97777,45.7769,-111.15301,1148,115,5.831881533101045,0.1001742160278745,10.02,0.1070601658644456,10.71,7.7798861480075905,5.831881533101045,1.5306775677430564,8.6,2,-3.176929007222376,0.7654741030558239
BJI-MSP,BJI,Bemidji Regional Airport,MSP,Minneapolis-Saint Paul International Airport,47.50942,-94.93372,44.88055,-93.21692,726,77,10.195592286501377,0.106060606060606,10.61,0.1157519213060873,11.58,4.920032529140689,10.195592286501377,2.676008474147343,8.58,2,-2.660920656004641,0.033663389661359774
MKE-CLE,MKE,General Mitchell International Airport,CLE,Cleveland Hopkins International Airport,42.94722,-87.89658,41.41089,-81.8494,822,88,6.327250608272506,0.1070559610705596,10.71,0.1156302462026335,11.56,5.570615342911358,6.327250608272506,1.6606956977093197,8.58,2,-3.0664248917428023,0.44381661196658256
ORF-CLT,ORF,Norfolk International Airport,CLT,Charlotte Douglas International Airport,36.89461,-76.20122,35.21401,-80.94313,704,77,6.400568181818182,0.109375,10.94,0.1189192624363534,11.89,4.770940634318244,6.400568181818182,1.679939155332856,8.58,2,-3.0385702350557655,0.33539448517672094
